Sentiment Trend

Positive
Date,Count
"2022-10-18 00:00:00",924,
"2022-10-19 00:00:00",482,
"2022-10-20 00:00:00",173,
"2022-10-21 00:00:00",518,
"2022-10-22 00:00:00",401,
"2022-10-23 00:00:00",138,
"2022-10-24 00:00:00",393,
"2022-10-25 00:00:00",94,
"2022-10-26 00:00:00",57,
"2022-10-27 00:00:00",60,
"2022-10-28 00:00:00",202,
"2022-10-29 00:00:00",50,
"2022-10-30 00:00:00",247,
"2022-10-31 00:00:00",114,
"2022-11-01 00:00:00",120,
"2022-11-02 00:00:00",238,
"2022-11-03 00:00:00",77,
"2022-11-04 00:00:00",286,
"2022-11-05 00:00:00",228,
"2022-11-06 00:00:00",110,
"2022-11-07 00:00:00",218,
"2022-11-08 00:00:00",200,
"2022-11-09 00:00:00",232,
"2022-11-10 00:00:00",167,
"2022-11-11 00:00:00",352,
"2022-11-12 00:00:00",398,
"2022-11-13 00:00:00",189,
"2022-11-14 00:00:00",354,
"2022-11-15 00:00:00",320,
"2022-11-16 00:00:00",242,
"2022-11-17 00:00:00",117,
"2022-11-18 00:00:00",253,
"2022-11-19 00:00:00",121,
"2022-11-20 00:00:00",94,
"2022-11-21 00:00:00",149,
"2022-11-22 00:00:00",69,
"2022-11-23 00:00:00",334,
"2022-11-24 00:00:00",217,
"2022-11-25 00:00:00",157,
"2022-11-26 00:00:00",92,
"2022-11-27 00:00:00",218,
"2022-11-28 00:00:00",379,
"2022-11-29 00:00:00",191,
"2022-11-30 00:00:00",511,
"2022-12-01 00:00:00",824,
"2022-12-02 00:00:00",718,
"2022-12-03 00:00:00",172,
"2022-12-04 00:00:00",273,
"2022-12-05 00:00:00",333,
"2022-12-06 00:00:00",283,
"2022-12-07 00:00:00",563,
"2022-12-08 00:00:00",418,
"2022-12-09 00:00:00",134,
"2022-12-10 00:00:00",216,
"2022-12-11 00:00:00",111,
"2022-12-12 00:00:00",117,
"2022-12-13 00:00:00",163,
"2022-12-14 00:00:00",519,
"2022-12-15 00:00:00",132,
"2022-12-16 00:00:00",345,
"2022-12-17 00:00:00",71,
"2022-12-18 00:00:00",143,
"2022-12-19 00:00:00",91,
"2022-12-20 00:00:00",89,
"2022-12-21 00:00:00",176,
"2022-12-22 00:00:00",88,
"2022-12-23 00:00:00",265,
"2022-12-24 00:00:00",165,
"2022-12-25 00:00:00",526,
"2022-12-26 00:00:00",169,
"2022-12-27 00:00:00",294,
"2022-12-28 00:00:00",163,
"2022-12-29 00:00:00",247,
"2022-12-30 00:00:00",123,
"2022-12-31 00:00:00",80,
"2023-01-01 00:00:00",161,
"2023-01-02 00:00:00",64,
"2023-01-03 00:00:00",143,
"2023-01-04 00:00:00",73,
"2023-01-05 00:00:00",216,
"2023-01-06 00:00:00",117,
"2023-01-07 00:00:00",155,
"2023-01-08 00:00:00",108,
"2023-01-09 00:00:00",201,
"2023-01-10 00:00:00",148,
"2023-01-11 00:00:00",342,
"2023-01-12 00:00:00",366,
"2023-01-13 00:00:00",202,
"2023-01-14 00:00:00",155,
"2023-01-15 00:00:00",76,
"2023-01-16 00:00:00",566,
"2023-01-17 00:00:00",160,
"2023-01-18 00:00:00",194,
"2023-01-19 00:00:00",509,
"2023-01-20 00:00:00",300,
"2023-01-21 00:00:00",234,
"2023-01-22 00:00:00",100,
"2023-01-23 00:00:00",141,
"2023-01-24 00:00:00",177,
"2023-01-25 00:00:00",85,
"2023-01-26 00:00:00",238,
"2023-01-27 00:00:00",179,
"2023-01-28 00:00:00",341,
"2023-01-29 00:00:00",436,
"2023-01-30 00:00:00",126,
"2023-01-31 00:00:00",159,
"2023-02-01 00:00:00",407,
"2023-02-02 00:00:00",317,
"2023-02-03 00:00:00",256,
"2023-02-04 00:00:00",75,
"2023-02-05 00:00:00",196,
"2023-02-06 00:00:00",251,
"2023-02-07 00:00:00",109,
"2023-02-08 00:00:00",266,
"2023-02-09 00:00:00",279,
"2023-02-10 00:00:00",320,
"2023-02-11 00:00:00",143,
"2023-02-12 00:00:00",332,
"2023-02-13 00:00:00",272,
"2023-02-14 00:00:00",317,
"2023-02-15 00:00:00",307,
"2023-02-16 00:00:00",281,
"2023-02-17 00:00:00",123,
"2023-02-18 00:00:00",162,
"2023-02-19 00:00:00",970,
"2023-02-20 00:00:00",647,
"2023-02-21 00:00:00",141,
"2023-02-22 00:00:00",124,
"2023-02-23 00:00:00",304,
"2023-02-24 00:00:00",176,
"2023-02-25 00:00:00",395,
"2023-02-26 00:00:00",242,
"2023-02-27 00:00:00",236,
"2023-02-28 00:00:00",94,
"2023-03-01 00:00:00",360,
"2023-03-02 00:00:00",152,
"2023-03-03 00:00:00",320,
"2023-03-04 00:00:00",68,
"2023-03-05 00:00:00",265,
"2023-03-06 00:00:00",229,
"2023-03-07 00:00:00",88,
"2023-03-08 00:00:00",257,
"2023-03-09 00:00:00",148,
"2023-03-10 00:00:00",92,
"2023-03-11 00:00:00",200,
"2023-03-12 00:00:00",136,
"2023-03-13 00:00:00",220,
