Mentions Trend

Mentions Trend
Date,Count
"2022-10-18 00:00:00",3369,
"2022-10-19 00:00:00",1229,
"2022-10-20 00:00:00",382,
"2022-10-21 00:00:00",1413,
"2022-10-22 00:00:00",1616,
"2022-10-23 00:00:00",475,
"2022-10-24 00:00:00",1495,
"2022-10-25 00:00:00",484,
"2022-10-26 00:00:00",354,
"2022-10-27 00:00:00",285,
"2022-10-28 00:00:00",1013,
"2022-10-29 00:00:00",241,
"2022-10-30 00:00:00",1076,
"2022-10-31 00:00:00",436,
"2022-11-01 00:00:00",528,
"2022-11-02 00:00:00",1101,
"2022-11-03 00:00:00",385,
"2022-11-04 00:00:00",1036,
"2022-11-05 00:00:00",1076,
"2022-11-06 00:00:00",344,
"2022-11-07 00:00:00",1063,
"2022-11-08 00:00:00",705,
"2022-11-09 00:00:00",1123,
"2022-11-10 00:00:00",658,
"2022-11-11 00:00:00",1449,
"2022-11-12 00:00:00",1573,
"2022-11-13 00:00:00",598,
"2022-11-14 00:00:00",1162,
"2022-11-15 00:00:00",727,
"2022-11-16 00:00:00",1199,
"2022-11-17 00:00:00",488,
"2022-11-18 00:00:00",998,
"2022-11-19 00:00:00",373,
"2022-11-20 00:00:00",355,
"2022-11-21 00:00:00",747,
"2022-11-22 00:00:00",289,
"2022-11-23 00:00:00",1313,
"2022-11-24 00:00:00",553,
"2022-11-25 00:00:00",669,
"2022-11-26 00:00:00",337,
"2022-11-27 00:00:00",995,
"2022-11-28 00:00:00",1434,
"2022-11-29 00:00:00",489,
"2022-11-30 00:00:00",2335,
"2022-12-01 00:00:00",2479,
"2022-12-02 00:00:00",1844,
"2022-12-03 00:00:00",428,
"2022-12-04 00:00:00",1261,
"2022-12-05 00:00:00",1238,
"2022-12-06 00:00:00",682,
"2022-12-07 00:00:00",1787,
"2022-12-08 00:00:00",1286,
"2022-12-09 00:00:00",436,
"2022-12-10 00:00:00",1107,
"2022-12-11 00:00:00",439,
"2022-12-12 00:00:00",491,
"2022-12-13 00:00:00",850,
"2022-12-14 00:00:00",1985,
"2022-12-15 00:00:00",719,
"2022-12-16 00:00:00",1507,
"2022-12-17 00:00:00",274,
"2022-12-18 00:00:00",688,
"2022-12-19 00:00:00",217,
"2022-12-20 00:00:00",286,
"2022-12-21 00:00:00",1061,
"2022-12-22 00:00:00",287,
"2022-12-23 00:00:00",1087,
"2022-12-24 00:00:00",454,
"2022-12-25 00:00:00",1917,
"2022-12-26 00:00:00",516,
"2022-12-27 00:00:00",1125,
"2022-12-28 00:00:00",538,
"2022-12-29 00:00:00",1121,
"2022-12-30 00:00:00",400,
"2022-12-31 00:00:00",233,
"2023-01-01 00:00:00",705,
"2023-01-02 00:00:00",225,
"2023-01-03 00:00:00",882,
"2023-01-04 00:00:00",345,
"2023-01-05 00:00:00",1191,
"2023-01-06 00:00:00",541,
"2023-01-07 00:00:00",777,
"2023-01-08 00:00:00",320,
"2023-01-09 00:00:00",928,
"2023-01-10 00:00:00",474,
"2023-01-11 00:00:00",1286,
"2023-01-12 00:00:00",1616,
"2023-01-13 00:00:00",551,
"2023-01-14 00:00:00",713,
"2023-01-15 00:00:00",299,
"2023-01-16 00:00:00",1456,
"2023-01-17 00:00:00",409,
"2023-01-18 00:00:00",543,
"2023-01-19 00:00:00",2473,
"2023-01-20 00:00:00",1033,
"2023-01-21 00:00:00",1065,
"2023-01-22 00:00:00",362,
"2023-01-23 00:00:00",774,
"2023-01-24 00:00:00",1061,
"2023-01-25 00:00:00",317,
"2023-01-26 00:00:00",1575,
"2023-01-27 00:00:00",513,
"2023-01-28 00:00:00",1716,
"2023-01-29 00:00:00",1167,
"2023-01-30 00:00:00",413,
"2023-01-31 00:00:00",504,
"2023-02-01 00:00:00",1410,
"2023-02-02 00:00:00",1092,
"2023-02-03 00:00:00",1055,
"2023-02-04 00:00:00",274,
"2023-02-05 00:00:00",425,
"2023-02-06 00:00:00",1602,
"2023-02-07 00:00:00",596,
"2023-02-08 00:00:00",1524,
"2023-02-09 00:00:00",1296,
"2023-02-10 00:00:00",1243,
"2023-02-11 00:00:00",469,
"2023-02-12 00:00:00",1083,
"2023-02-13 00:00:00",621,
"2023-02-14 00:00:00",1471,
"2023-02-15 00:00:00",1291,
"2023-02-16 00:00:00",1207,
"2023-02-17 00:00:00",550,
"2023-02-18 00:00:00",541,
"2023-02-19 00:00:00",2337,
"2023-02-20 00:00:00",1331,
"2023-02-21 00:00:00",366,
"2023-02-22 00:00:00",335,
"2023-02-23 00:00:00",1182,
"2023-02-24 00:00:00",469,
"2023-02-25 00:00:00",1792,
"2023-02-26 00:00:00",1197,
"2023-02-27 00:00:00",1058,
"2023-02-28 00:00:00",342,
"2023-03-01 00:00:00",1242,
"2023-03-02 00:00:00",497,
"2023-03-03 00:00:00",1255,
"2023-03-04 00:00:00",295,
"2023-03-05 00:00:00",1541,
"2023-03-06 00:00:00",1528,
"2023-03-07 00:00:00",376,
"2023-03-08 00:00:00",917,
"2023-03-09 00:00:00",381,
"2023-03-10 00:00:00",274,
"2023-03-11 00:00:00",781,
"2023-03-12 00:00:00",399,
"2023-03-13 00:00:00",1019,
"2023-03-14 00:00:00",385,
"2023-03-15 00:00:00",913,
"2023-03-16 00:00:00",539,
"2023-03-17 00:00:00",798,
"2023-03-18 00:00:00",1488,
"2023-03-19 00:00:00",562,
"2023-03-20 00:00:00",359,
"2023-03-21 00:00:00",1103,
"2023-03-22 00:00:00",1096,
"2023-03-23 00:00:00",522,
"2023-03-24 00:00:00",1109,
"2023-03-25 00:00:00",562,
"2023-03-26 00:00:00",1404,
"2023-03-27 00:00:00",1128,
"2023-03-28 00:00:00",882,
"2023-03-29 00:00:00",360,
"2023-03-30 00:00:00",2110,
"2023-03-31 00:00:00",1713,
"2023-04-01 00:00:00",461,
"2023-04-02 00:00:00",207,
"2023-04-03 00:00:00",378,
"2023-04-04 00:00:00",1110,
"2023-04-05 00:00:00",1242,
"2023-04-06 00:00:00",761,
"2023-04-07 00:00:00",1426,
"2023-04-08 00:00:00",626,
"2023-04-09 00:00:00",2001,
"2023-04-10 00:00:00",689,
"2023-04-11 00:00:00",1003,
"2023-04-12 00:00:00",747,
"2023-04-13 00:00:00",720,
"2023-04-14 00:00:00",588,
"2023-04-15 00:00:00",3060,
"2023-04-16 00:00:00",663,
