
Top Shared Links
URL Links,Mentions,Shared URL
"stream.nbcsports.com/rsn/nba-celtics-live-stream",759,"http://stream.nbcsports.com/rsn/nba-celtics-live-stream",
"twitter.com/wojespn/status/1708511286596686032/photo/1",663,"https://twitter.com/wojespn/status/1708511286596686032/photo/1",
"twitter.com/celtics/status/1708580526188097641/photo/1",377,"https://twitter.com/celtics/status/1708580526188097641/photo/1",
"twitter.com/wojespn/status/1708511286596686032",336,"https://twitter.com/wojespn/status/1708511286596686032",
"nba.com/",336,"https://www.nba.com/",
"twitter.com/BleacherReport/status/1585039258586267650/photo/1",324,"https://twitter.com/BleacherReport/status/1585039258586267650/photo/1",
"twitter.com/celtics/status/1708585096805011698/photo/1",280,"https://twitter.com/celtics/status/1708585096805011698/photo/1",
"bostonglobe.com/2023/05/16/sports/jayson-tatum-xavier-goncalves/",268,"https://www.bostonglobe.com/2023/05/16/sports/jayson-tatum-xavier-goncalves/",
"app.link.nba.com/e/ASVCelticsSocial",248,"https://app.link.nba.com/e/ASVCelticsSocial",
"twitter.com/espn/status/1657867060230209536/photo/1",219,"https://twitter.com/espn/status/1657867060230209536/photo/1",
"fanduel.com/BOSTON",192,"https://www.fanduel.com/BOSTON",
"twitter.com/celtics/status/1671527554878955520/video/1",191,"https://twitter.com/celtics/status/1671527554878955520/video/1",
"twitch.tv/bostonweei",188,"https://www.twitch.tv/bostonweei",
"twitter.com/ShamsCharania/status/1708511560392437906/photo/1",163,"https://twitter.com/ShamsCharania/status/1708511560392437906/photo/1",
"twitter.com/NikeEYB/status/1683886978784276499/video/1",154,"https://twitter.com/NikeEYB/status/1683886978784276499/video/1",
"twitter.com/shobasketball/status/1620511658023223296/video/1",152,"https://twitter.com/shobasketball/status/1620511658023223296/video/1",
"24autogroup.com/",150,"https://www.24autogroup.com/",
"nba.com/celtics/schedule?page=playoffs&camefrom=CFC_CELTICS_SOCIAL_TW_PLAYOFFTIX",149,"https://www.nba.com/celtics/schedule?page=playoffs&camefrom=CFC_CELTICS_SOCIAL_TW_PLAYOFFTIX",
"twitter.com/TheAthletic/status/1592377577674485761/photo/1",144,"https://twitter.com/TheAthletic/status/1592377577674485761/photo/1",
"twitter.com/celtics/status/1648280212952731648/photo/1",144,"https://twitter.com/celtics/status/1648280212952731648/photo/1",
"twitter.com/tdgarden/status/1647222749033578498/photo/1",140,"https://twitter.com/tdgarden/status/1647222749033578498/photo/1",
"twitter.com/celtics/status/1709675383568699832/photo/1",137,"https://twitter.com/celtics/status/1709675383568699832/photo/1",
"art19.com/shows/celtics-talk",136,"https://art19.com/shows/celtics-talk",
"twitter.com/shobasketball/status/1620549916216139776/video/1",136,"https://twitter.com/shobasketball/status/1620549916216139776/video/1",
"southiecookie.com/",136,"https://www.southiecookie.com/",
